arquivo,divisao,rotulo,indice,rot_x,rot_y,rot_z,matiz,saturacao,fator_escala,fator_luz,fator_camera,semente
train/C/C_000008.png,train,C,8,2.8375,5.1963,0.2665,0.9958,0.8797,0.9687,1.2146,1.0394,42
train/C/C_000009.png,train,C,9,3.2429,3.9625,0.3097,0.2912,0.8495,0.9414,1.2793,1.0153,42
val/A/A_000000.png,val,A,0,6.0156,2.0000,4.2858,0.3426,0.8153,1.0758,1.0169,0.9615,42
val/A/A_000001.png,val,A,1,6.1765,2.1465,2.8890,0.5995,0.7540,1.0576,1.1525,0.9005,42
val/A/A_000002.png,val,A,2,2.9941,5.6639,4.2267,0.4132,0.9738,1.0610,1.2337,1.0345,42
val/A/A_000003.png,val,A,3,4.9468,4.0784,0.4871,0.0309,0.9580,1.0515,1.1706,0.9882,42
val/A/A_000004.png,val,A,4,5.1069,5.1991,2.2492,0.1772,0.9420,1.0591,0.7059,1.0157,42
val/A/A_000005.png,val,A,5,5.8826,2.7934,1.3919,0.0198,0.8203,1.1264,0.9505,0.9225,42
val/A/A_000006.png,val,A,6,3.8544,1.9049,4.5101,0.2343,0.8735,0.9589,0.8965,1.1261,42
val/A/A_000007.png,val,A,7,4.4420,1.3137,1.2320,0.8211,0.8490,1.1110,1.0984,1.0235,42
val/A/A_000008.png,val,A,8,3.4670,4.1459,3.5544,0.6824,0.8913,0.8696,0.7898,0.9163,42
val/A/A_000009.png,val,A,9,1.6313,3.5808,1.4323,0.5231,0.9456,0.9076,1.1746,1.1480,42
val/B/B_000000.png,val,B,0,6.1422,4.0718,1.8124,0.0237,0.9617,0.9494,0.8696,1.0348,42
val/B/B_000001.png,val,B,1,5.6965,4.1784,1.5604,0.6873,0.9299,1.0324,0.9670,0.9804,42
val/B/B_000002.png,val,B,2,2.7794,0.0380,5.4655,0.0700,0.7981,1.0403,0.7991,0.9511,42
val/B/B_000003.png,val,B,3,0.5765,3.7236,5.2227,0.9318,0.8091,0.8734,1.2075,0.9779,42
val/B/B_000004.png,val,B,4,4.5344,1.5389,1.1086,0.2490,0.8213,0.9845,1.1449,0.9680,42
val/B/B_000005.png,val,B,5,4.9090,0.5028,6.1107,0.3982,0.7919,0.9824,1.0537,1.0837,42
val/B/B_000006.png,val,B,6,4.7773,5.1497,4.9861,0.0198,0.8454,1.1062,1.2312,1.1304,42
val/B/B_000007.png,val,B,7,3.7396,0.9601,4.5657,0.2573,0.8659,0.9861,0.9626,1.0515,42
val/B/B_000008.png,val,B,8,0.4520,0.8586,2.9484,0.1547,0.7974,0.8539,1.0505,1.0813,42
val/B/B_000009.png,val,B,9,3.0879,5.8163,5.9080,0.9705,0.8433,0.9969,1.1487,1.0471,42
val/C/C_000000.png,val,C,0,4.6372,3.5741,1.3664,0.3048,0.9833,1.0429,1.2780,0.9089,42
val/C/C_000001.png,val,C,1,2.9095,3.8814,3.0679,0.3557,0.9039,0.9486,0.9477,0.9013,42
val/C/C_000002.png,val,C,2,5.5933,1.1697,2.2276,0.1013,0.8730,0.8754,1.0600,0.9384,42
val/C/C_000003.png,val,C,3,0.7781,3.0625,0.9779,0.6566,0.8065,0.9686,0.9095,1.0071,42
val/C/C_000004.png,val,C,4,1.1447,5.0991,0.6830,0.4386,0.9598,0.8986,0.9476,1.0085,42
val/C/C_000005.png,val,C,5,2.2572,5.4696,1.2470,0.1896,0.7601,0.9684,1.2207,1.1252,42
val/C/C_000006.png,val,C,6,1.0073,1.2503,3.0115,0.6652,0.8164,0.9763,1.0851,1.1000,42
val/C/C_000007.png,val,C,7,4.4882,2.0413,4.8028,0.8818,0.8755,1.1271,1.2901,0.9972,42
val/C/C_000008.png,val,C,8,0.6895,0.6778,0.1329,0.1555,0.8750,1.0802,0.8656,1.0696,42
val/C/C_000009.png,val,C,9,2.1497,6.1351,4.6334,0.4343,0.8224,0.9958,1.2326,0.9619,42
test/A/A_000000.png,test,A,0,3.9941,0.5252,0.4352,0.4051,0.8246,1.0637,1.3099,1.0312,42
test/A/A_000001.png,test,A,1,4.2075,1.6302,5.2185,0.0924,0.9754,0.9526,1.2272,0.9411,42
test/A/A_000002.png,test,A,2,2.1946,2.6333,2.9877,0.6888,0.7902,1.0590,0.9483,1.0732,42
test/A/A_000003.png,test,A,3,2.4450,0.0624,4.9202,0.5971,0.7695,1.0504,1.1316,0.9809,42
test/A/A_000004.png,test,A,4,6.1975,5.8997,4.6674,0.7367,0.8291,0.8952,1.0211,0.9369,42
test/A/A_000005.png,test,A,5,5.4306,0.7138,6.0945,0.4064,0.8802,0.8511,1.0154,1.1081,42
test/A/A_000006.png,test,A,6,0.7899,2.8232,6.0913,0.0974,0.8047,1.1437,0.9941,1.0365,42
test/A/A_000007.png,test,A,7,1.0436,2.3723,2.1871,0.9524,0.9929,1.0231,0.7101,1.1034,42
test/A/A_000008.png,test,A,8,0.1017,5.6338,3.1547,0.8678,0.9248,1.0447,1.0192,1.0026,42
test/A/A_000009.png,test,A,9,2.2130,3.4084,3.2872,0.7651,0.7783,0.9027,0.9999,0.9442,42
test/B/B_000000.png,test,B,0,3.7378,3.4103,2.3974,0.8451,0.9221,0.9812,0.8983,1.0551,42
test/B/B_000001.png,test,B,1,5.8128,5.3847,6.2541,0.8059,0.7760,1.0449,1.1314,1.0028,42
test/B/B_000002.png,test,B,2,3.1190,4.7232,5.8260,0.0997,0.8610,1.0244,0.7228,0.9725,42
test/B/B_000003.png,test,B,3,2.6430,1.4004,2.8565,0.3811,0.7989,0.9909,0.7871,1.1419,42
test/B/B_000004.png,test,B,4,5.7430,2.5945,5.1548,0.7038,0.9353,0.8523,0.9623,0.9560,42
test/B/B_000005.png,test,B,5,1.7819,5.5267,1.6619,0.8385,0.9488,0.9744,0.8691,1.1250,42
test/B/B_000006.png,test,B,6,2.6047,0.0976,0.9637,0.3744,0.9542,1.0960,1.1200,0.9838,42
test/B/B_000007.png,test,B,7,6.0266,6.2381,1.5195,0.9735,0.7982,1.0433,1.2800,1.1003,42
test/B/B_000008.png,test,B,8,3.6308,0.8097,3.9978,0.9774,0.7934,1.1213,1.0621,1.0094,42
test/B/B_000009.png,test,B,9,0.6257,5.0339,3.1683,0.6314,0.9461,1.1029,1.1391,0.9651,42
test/C/C_000000.png,test,C,0,3.4740,5.9609,1.2803,0.0933,0.8594,1.0387,1.1153,0.9070,42
test/C/C_000001.png,test,C,1,4.4458,5.7843,0.4949,0.3824,0.9356,0.8892,1.0176,1.0579,42
test/C/C_000002.png,test,C,2,2.2501,1.5062,5.6417,0.2969,0.8839,0.9236,1.2460,1.0965,42
test/C/C_000003.png,test,C,3,4.8405,4.1422,1.7277,0.9350,0.9069,1.0415,1.1055,0.9259,42
test/C/C_000004.png,test,C,4,2.8848,3.7441,0.6728,0.2825,0.9737,0.8778,1.0460,0.9903,42
test/C/C_000005.png,test,C,5,5.2673,2.4555,3.0853,0.0220,0.7684,1.1378,0.7534,1.0718,42
test/C/C_000006.png,test,C,6,2.3578,1.9703,5.7070,0.8085,0.7950,0.8530,0.8251,1.0418,42
test/C/C_000007.png,test,C,7,3.8117,0.1976,6.1319,0.9937,0.8710,1.0342,1.0825,0.9396,42
test/C/C_000008.png,test,C,8,4.6602,5.8219,1.2117,0.0296,0.7558,1.0035,0.8066,1.1167,42
test/C/C_000009.png,test,C,9,0.7212,1.3632,2.0580,0.2198,0.9319,1.1320,0.8873,1.0204,42
